bill_id,rollcall_id,datetime,url_votacao,legislator_name,legislator_state,legislator_party,legislator_vote
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Alessandro Vieira,SE,CIDADANIA,Sim
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Eliziane Gama,MA,CIDADANIA,Sim
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Marcos do Val,ES,CIDADANIA,Sim
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Chico Rodrigues,RR,DEM,MIS
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Davi Alcolumbre,AP,DEM,Presidente (art. 51 RISF)
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Jayme Campos,MT,DEM,Sim
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Marcos Rogério,RO,DEM,P-NRV
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Maria do Carmo Alves,SE,DEM,P-NRV
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Rodrigo Pacheco,MG,DEM,Sim
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Confúcio Moura,RO,MDB,Sim
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Dário Berger,SC,MDB,Sim
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Eduardo Braga,AM,MDB,Sim
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Eduardo Gomes,TO,MDB,Sim
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Fernando Bezerra Coelho,PE,MDB,Sim
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Jader Barbalho,PA,MDB,AP
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Jarbas Vasconcelos,PE,MDB,MIS
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, José Maranhão,PB,MDB,Sim
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Luiz do Carmo,GO,MDB,Sim
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Marcelo Castro,PI,MDB,Sim
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Marcio Bittar,AC,MDB,Sim
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Renan Calheiros,AL,MDB,AP
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Simone Tebet,MS,MDB,Sim
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Acir Gurgacz,RO,PDT,Sim
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Cid Gomes,CE,PDT,Sim
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Kátia Abreu,TO,PDT,Sim
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Weverton,MA,PDT,Sim
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Jorginho Mello,SC,PL,Sim
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Wellington Fagundes,MT,PL,Sim
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Alvaro Dias,PR,PODEMOS,Não
129807,5946,2019-03-12,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/129807/votacoes#votacao_5946, Eduardo Girão,CE,PODEMOS,Sim
